signal,program_code,exhibition_date,program_start_time,average_audience
RJ,JHOJ,2020-05-22,2020-05-22T16:25:00.000Z,1033033.5333333333
RJ,BPRA,2020-05-22,2020-05-22T09:00:00.000Z,554347.1744966443
RJ,ALTA,2020-05-23,2020-05-24T02:10:00.000Z,795904.6489361703
PE1,AUTO,2020-05-03,2020-05-03T12:14:00.000Z,160916.5483870968
SP1,SAME,2020-05-12,2020-05-12T04:07:00.000Z,973620.6739130435
SP1,N18S,2020-05-02,2020-05-02T21:43:00.000Z,1774248.4857142856
DF,TARA,2020-06-25,2020-06-25T17:59:00.000Z,103279.88659793814
DF,CASA,2020-05-09,2020-05-09T09:50:00.000Z,51009.335504885996
DF,COR1,2020-05-09,2020-05-09T05:44:00.000Z,16784.13953488372
BH,DFAU,2020-05-17,2020-05-17T21:42:00.000Z,432108.78205128206
BH,COR1,2020-06-29,2020-06-29T05:45:00.000Z,62574.6
PE1,CINE,2020-04-15,2020-04-16T02:18:00.000Z,377018.77777777775
SP1,PTV2,2020-06-03,2020-06-03T22:07:00.000Z,2246709.0588235296
BH,COR2,2020-05-23,2020-05-23T06:43:00.000Z,68418.34831460674
DF,HORA,2020-04-17,2020-04-17T07:00:00.000Z,17771.866666666665
DF,SAME,2020-04-13,2020-04-13T04:35:00.000Z,55468.431818181816
DF,PTV2,2020-06-01,2020-06-01T22:07:00.000Z,367426.24242424243
RJ,EMPR,2020-06-21,2020-06-21T10:52:00.000Z,483446.75675675675
PE1,EMPR,2020-06-21,2020-06-21T10:50:00.000Z,176992.76315789475
DF,HORA,2020-05-06,2020-05-06T07:00:00.000Z,16117.391666666666
BH,PTV2,2020-05-08,2020-05-08T22:17:00.000Z,868659.7857142857
DF,ZORR,2020-05-16,2020-05-17T01:34:00.000Z,195505.625
BH,N18H,2020-05-07,2020-05-07T21:33:00.000Z,765414.8461538461
DF,N20H,2020-05-12,2020-05-13T00:36:00.000Z,399023.4426229508
PE1,EMPR,2020-06-14,2020-06-14T10:54:00.000Z,137774.56756756757
PE1,CORO,2020-05-19,2020-05-19T12:49:00.000Z,83474.61111111111
RJ,NBRA,2020-05-01,2020-05-01T11:30:00.000Z,581696.6962025317
RJ,TELA,2020-04-27,2020-04-27T03:17:00.000Z,699768.0531914893
SP1,HUCK,2020-06-06,2020-06-06T18:55:00.000Z,1147719.713375796
RJ,SHT1,2020-06-09,2020-06-10T01:39:00.000Z,1293286.8125
RJ,PT2S,2020-05-09,2020-05-09T22:12:00.000Z,1620541.44
BH,SAME,2020-06-02,2020-06-02T04:36:00.000Z,97916.10869565218
BH,REPO,2020-04-24,2020-04-24T03:08:00.000Z,200697.54761904763
BH,BPRA,2020-06-12,2020-06-12T09:00:00.000Z,90447.3355704698
RJ,PTV1,2020-04-23,2020-04-23T15:02:00.000Z,1100713.036585366
SP1,BIGB,2020-04-26,2020-04-27T01:43:00.000Z,1886623.2452830188
SP1,JHOJ,2020-05-12,2020-05-12T16:25:00.000Z,1230116.108695652
BH,VALE,2020-04-21,2020-04-21T19:52:00.000Z,966639.6231884058
SP1,BIAL,2020-06-30,2020-06-30T04:20:00.000Z,580547.7142857143
BH,EMPR,2020-05-17,2020-05-17T10:56:00.000Z,123540.67567567568
SP1,MISA,2020-04-26,2020-04-26T09:24:00.000Z,436492.3387096774
DF,NBRA,2020-05-14,2020-05-14T11:30:00.000Z,119838.78205128205
